飞机上遗失东西怎么找回？	三、旅客来电反映将物品遗失在飞机上,若是刚刚下机,可联系候机寻找。
凭哪些证件可以到机场派出所办理临时登机证明？	黄花机场机公安办理临时乘机证明的位置:T二航站楼安检十六号通道边设有办理柜台旅客由于特殊原因无法提供有效证件,可通过以下方式办理临时乘机证明。a.需要办理临时登机证明的旅客,可到T二航站楼始发层十六号号安检口附近公安执勤点办理。b.异地机场开具的,有标注有效期的临时乘机证明,在有效期内可以在长沙机场直接使用。c.部分地区停止开具户籍证明,改开常住人口基本信息,同样为A四纸打印,有统一格式,内容有照片、户籍信息、户籍公章,效力等同于户籍证明。d. 证件只认可扫描件、复印件以及传真件,用手机拍照下来的或是拍照下来后打印出来的不认可,拍照之后打印出来的能够证明身份的证件,可以在公安执勤点换取临时乘机证明。e.临时登机证明可以提前来机场办理,在证明上标明有效期即可,在有效期以内都可以使用。f.没有公章的常住人口信息和一个有公章的接警证明(有各类信息没有照片)可以换到临时登机证明。g.如果儿童未上户,公安在系统中查询不到其户籍信息,凭出生证明等证件也无法开具临时乘机证明。十二周岁以下儿童乘机可以凭户口本,出生证明原件或者复印件。h.12岁以下儿童或婴儿无法提供任何纸质证明,家人也不清楚孩子的任何证件号码,如果已经上户且为湖南省内户口,机场公安办可以根据父母的信息调取孩子的信息,如查实真实有效,可以开具临时登机证明。i. 符合办理《临时身份证明》的旅客(现役军人除外)须提供户口本或驾驶证、社保卡、暂住证(居住证)、工作证、介绍信,或过期的身份证、护照、《临时身份证明》等任一项身份证明材料(原件或复印件)及两张本人近期一存证件照片。j. 无法提供上述身份证明材料的,有其他能够证明其身份的书面材料,申请人应如实提供本人姓名、身份证件号、户籍所在地、家庭住址、同户籍亲属人员情况等相关信息,k.现役军人申请《临时身份证明》,应当提供所在单位保卫或政府部门出具的介绍信原件,经机场公安机关查验无误后签发《临时身份证明》l.根据湖南物价局规定,收取三十元办证服务费。m.《临时身份证明》仅限于中华人民共和国国籍(不含港澳台)旅客乘坐国内民航飞机时作为有效乘机证明使用,不得作为其他用途。n.临时乘机证明不能代办,必须本人办理。长沙机场办理临时乘机证明有效期最短为七天,最长为十五天,一次性乘机。办理时间一般为五-十分钟/人,具体要看现场操作及排队情况。o.  《临时身份证明》式样统一,在全国民用航空运输机场(不含港澳台)通用、有效。
航空意外险的购买	购买航空意外险可以通过三种方式：机票搭售、机场购买和网上购买。机票搭售购买的话，通常价格便宜，保障也高，但是只限于当次乘坐飞机进行保障。而机场购买的保费比较高，如果出门后忘记购买保险，可以考虑通过机场购买。建议如果经常出差的话可以考虑网上购买商业航空意外险，不仅保费便宜，也可自由选择保障范围以及保障金额。而保障期限建议选择一年期的，这样可以免去反复缴费的麻烦，而且也更划算。
如何办理临时的乘机手续?	黄花机场机公安办理临时乘机证明的位置:T二航站楼安检十六号通道边设有办理柜台
长沙黄花机场航站楼是第几航站楼	长沙黄花机场T1航站楼，2018年5月16日刚恢复启用；T1和T2 分别位于磁浮机场站的两边，T1 在北，T2 在南。T1、T2航站楼安检区外通过磁浮连廊实现互相连通 （步行8分钟）。您也可以乘坐电瓶车往返T1与T2航站楼之间（4分钟）。
长沙黄花机场VIP接机	专人接送机,代办出港值机手续;
长沙黄花机场放行印尼或者泰国的落地签吗急！！！！	一月二十八日开始,包括泰国在内的三十七个国家对中国实行有条件落地签,对中国公民持普通护照赴上述国家(地区),出入境边防检查机关查验有效护照和定妥座位的联程客票(直飞航班查验登机牌)无误后放行。须提醒旅客,落地签并非免签,请旅客出发前了解目的国落地签办理相关政策,做好相关准备。
本人身份证在长沙黄花机场丢失 还能找到吗？	旅客由于特殊原因无法提供有效证件,可通过以下方式办理临时乘机证明。
出国旅游需要什么手续	出国旅游的话首先就是需要办理签证： 办理签证：(需要护照、照片、身份证和户口本复印件、单位证明、在职证明、经济能力证明等等申请必须材料，目的地国家不同，所需的资料并非全部需要上述证明材料!)例如：东南亚国家签证提供护照和照片就可办理。 办理东南亚签证需要1-3工作日 办理日本韩国签证需要5-7工作日 亚洲其他国家签证需要7-10工作日 欧洲签证通常各使馆审核时间需要5工作日，但需要提前预约。(长30天预约期，短则1—2天) 美国加拿大签证1个工作日就可知道结果，但是需要提前一个月预约面试。 非洲签证则需要7—15工作日，如：埃及、南非、坦桑尼亚，肯尼亚等所需工作日相比则较短。 答案补充 首先你拿户口本、身份证与二张大一寸蓝底照片到人民出入境事务处办理一个因私个人护照，费用约200元 收到护照后，到大型旅行社代办你想去国家的签证，国家也不同签证费用不同，通常200-500元左右。但不一定会签证成功，有些国家需要提交人个收入纪录和家庭背景资料才可以办理审批。 最后一点也是最重要的一点，如果你到美国或日本等未对中国开放旅游协定的国家，必须向旅行社交纳押金，由数万元至数十万不等，提防偷渡。机场有A B C三个候机楼，国内航班到达只可能是A楼和C楼，A楼的话出行李有两个出口，从东边出口出来的话左手边就是大巴车票销售点，前方五米就是大巴站。如果C楼到达的话，走出C候机楼从外面便道步行到A楼这边来买票上车，朝东边走就行了。乘大巴的地方也有正规的士，还有拉客的黑的士，最好别搭理。说的这么详细给点鼓励啦~机场有A B C三个候机楼，国内航班到达只可能是A楼和C楼，A楼的话出行李有两个出口，从东边出口出来的话左手边就是大巴车票销售点，前方五米就是大巴站。如果C楼到达的话，走出C候机楼从外面便道步行到A楼这边来买票上车，朝东边走就行了。乘大巴的地方也有正规的士，还有拉客的黑的士，最好别搭理。说的这么详细给点鼓励啦~你在申请特殊旅客服务的时候，在那个页面里有一个审核查询的选项，你到时候申请就可以直接查询申请状态，或者咨询东航的客服都可以。
退税是在机场安检前还是安检后	基本上所有的国际机场退税手续都在安检以后。然后在里面会有一个专用的退税窗口。
在长沙黄花机场怎么买无人陪同儿童票	无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系,如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系八千四百七十九万七千三百七十三办理相关手续;如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。
